"Strike","Last","Chg","Bid","Ask","Vol","OI"
"AAPL170317C00045000",45,86.68,0,86.9,87.4,38,0
"AAPL170317C00047500",47.5,58.27,0,59.75,60.7,204,0
"AAPL170317C00050000",50,81.67,0,81.95,82.4,8,3
"AAPL170317C00055000",55,76.95,0,76.95,77.45,20,5
"AAPL170317C00060000",60,72,0,71.95,72.45,40,1
"AAPL170317C00065000",65,52,0,50.4,51.45,2,121
"AAPL170317C00070000",70,63.07,0,64.8,65.3,1,9
"AAPL170317C00075000",75,57.35,0.34999847,56.95,57.45,32,243
"AAPL170317C00080000",80,52.5,0,52.05,52.35,4,72
"AAPL170317C00082500",82.5,49.25,0,49.45,49.95,550,3
"AAPL170317C00085000",85,47.5,0.45000076,46.95,47.45,61,312
"AAPL170317C00087500",87.5,44.88,0.97999954,44.55,44.85,36,258
"AAPL170317C00090000",90,45,1.4099998,44.9,45.2,7,134
"AAPL170317C00092500",92.5,39.45,0,39.5,40,30,47
"AAPL170317C00095000",95,37.5,0.36999893,37.05,37.4,2,76
"AAPL170317C00097500",97.5,36.31,0,37.3,37.8,31,85
"AAPL170317C00100000",100,35,1.6300011,34.95,35.2,213,392
"AAPL170317C00105000",105,30.02,1.3199997,30,30.2,47,461
"AAPL170317C00110000",110,25.09,1.6900005,25.05,25.25,37,876
"AAPL170317C00115000",115,20.15,1.4400005,20,20.25,244,2527
"AAPL170317C00120000",120,15.16,1.6099997,15.1,15.3,421,7177
"AAPL170317C00125000",125,10.25,1.6000004,10.25,10.4,1210,56003
"AAPL170317C00130000",130,5.85,1.3499999,5.85,5.9,5924,52808
"AAPL170317C00135000",135,2.54,0.9,2.53,2.52,28639,25979
"AAPL170317C00140000",140,0.81,0.34,0.8,0.83,5007,24310
"AAPL170317C00145000",145,0.24,0.099999994,0.24,0.25,1083,7401
"AAPL170317C00150000",150,0.09,0.030000005,0.08,0.09,1036,3964
"AAPL170317C00155000",155,0.05,0.030000001,0.02,0.03,245,3212
"AAPL170317C00160000",160,0.01,0,0,0.01,128,288
"AAPL170317C00165000",165,0.02,0.01,0,0.01,2,58
"AAPL170317C00170000",170,0.02,0,0,0.01,14,14
"AAPL170317C00175000",175,0.01,0,0,0.01,8,0
"AAPL170317C00180000",180,0.01,0,0,0.01,25,25
"AAPL170317C00210000",210,0.01,-0.01,0,0.02,1,1
